artwork_id,museum_id,nb_images,thumbnail,media_url
64,JL.2022.0.80,5,mar-bvm-7-2022-0-80-1-001-medium.jpg,"mar-bvm-7-2022-0-80-1-001-medium.jpg, mar-bvm-7-2022-0-80-1-002-medium.jpg, mar-bvm-7-2022-0-80-2-001-medium.jpg, mar-bvm-7-2022-0-80-2-002-medium.jpg, mar-bvm-7-2022-0-80-2-003-medium.jpg"
65,JL.2022.0.91,3,mar-bvm-7-2022-0-91-001-medium.jpg,"mar-bvm-7-2022-0-91-001-medium.jpg, mar-bvm-7-2022-0-91-002-medium.jpg, mar-bvm-7-2022-0-91-003-medium.jpg"
66,JL.2022.0.95,3,mar-bvm-7-2022-0-95-001-medium.jpg,"mar-bvm-7-2022-0-95-001-medium.jpg, mar-bvm-7-2022-0-95-002-medium.jpg, mar-bvm-7-2022-0-95-003-medium.jpg"
67,JL.2022.0.96,2,mar-bvm-7-2022-0-96-001-medium.jpg,"mar-bvm-7-2022-0-96-001-medium.jpg, mar-bvm-7-2022-0-96-002-medium.jpg"
68,JL.2022.0.97,3,mar-bvm-7-2022-0-97-001-medium.jpg,"mar-bvm-7-2022-0-97-001-medium.jpg, mar-bvm-7-2022-0-97-002-medium.jpg, mar-bvm-7-2022-0-97-004-medium.jpg"
69,JL.2022.0.97b,1,mar-bvm-7-2022-0-97-003-medium.jpg,mar-bvm-7-2022-0-97-003-medium.jpg
70,JL.2022.0.99,2,mar-bvm-7-2022-0-99-001-medium.jpg,"mar-bvm-7-2022-0-99-001-medium.jpg, mar-bvm-7-2022-0-99-002-medium.jpg"
71,JL.2022.0.100,2,mar-bvm-7-2022-0-100-001-medium.jpg,"mar-bvm-7-2022-0-100-001-medium.jpg, mar-bvm-7-2022-0-100-002-medium.jpg"
72,JL.2022.0.105,2,mar-bvm-7-2022-0-105-001-medium.jpg,"mar-bvm-7-2022-0-105-001-medium.jpg, mar-bvm-7-2022-0-105-002-medium.jpg"
73,JL.2022.0.123,2,mar-bvm-7-2022-0-123-1-medium.jpg,"mar-bvm-7-2022-0-123-1-medium.jpg, mar-bvm-7-2022-0-123-2-medium.jpg"
74,JL.2022.0.125,2,mar-bvm-7-2022-0-125-2-medium.jpg,"mar-bvm-7-2022-0-125-001-medium.jpg, mar-bvm-7-2022-0-125-2-medium.jpg"
75,JL.2022.0.128,2,mar-bvm-7-2022-0-128-001-medium.jpg,"mar-bvm-7-2022-0-128-001-medium.jpg, mar-bvm-7-2022-0-128-002-medium.jpg"
76,JL.2022.0.130,2,mar-bvm-7-2022-0-130-001-medium.jpg,"mar-bvm-7-2022-0-130-001-medium.jpg, mar-bvm-7-2022-0-130-002-medium.jpg"
77,JL.2022.0.131,3,mar-bvm-7-2022-0-131-1-medium.jpg,"mar-bvm-7-2022-0-131-001-medium.jpg, mar-bvm-7-2022-0-131-1-medium.jpg, mar-bvm-7-2022-0-131-2-medium.jpg"
78,JL.2022.0.132,2,mar-bvm-7-2022-0-132-001-medium.jpg,"mar-bvm-7-2022-0-132-001-medium.jpg, mar-bvm-7-2022-0-132-002-medium.jpg"
79,JL.2022.0.133,1,mar-bvm-7-2022-0-133-medium.jpg,mar-bvm-7-2022-0-133-medium.jpg
80,JL.2022.0.134,3,mar-bvm-7-2022-0-134-001-medium.jpg,"mar-bvm-7-2022-0-134-001-medium.jpg, mar-bvm-7-2022-0-134-002-medium.jpg, mar-bvm-7-2022-0-134-003-medium.jpg"
81,JL.2022.0135,2,mar-bvm-7-2022-0-135-001-medium.jpg,"mar-bvm-7-2022-0-135-001-medium.jpg, mar-bvm-7-2022-0-135-002-medium.jpg"
82,JL.2022.0.136,2,mar-bvm-7-2022-0-136-001-medium.jpg,"mar-bvm-7-2022-0-136-001-medium.jpg, mar-bvm-7-2022-0-136-002-medium.jpg"
83,JL.2022.0.138,2,mar-bvm-7-2022-0-138-001-medium.jpg,"mar-bvm-7-2022-0-138-001-medium.jpg, mar-bvm-7-2022-0-138-002-medium.jpg"
84,JL.2022.0.139,2,mar-bvm-7-2022-0-139-001-medium.jpg,"mar-bvm-7-2022-0-139-001-medium.jpg, mar-bvm-7-2022-0-139-002-medium.jpg"
85,JL.2022.0.143,2,mar-bvm-7-2022-0-143-medium.jpg,"mar-bvm-7-2022-0-143-1-medium.jpg, mar-bvm-7-2022-0-143-medium.jpg"
86,JL.2022.0.145,2,mar-bvm-7-2022-0-145-medium.jpg,"mar-bvm-7-2022-0-145-1-medium.jpg, mar-bvm-7-2022-0-145-medium.jpg"
